host_species	taxid	host_genus	host_family	host_order	host_class
Cyrtodactylus sermowaiensis	1089826	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Buteo nitidus	387814	Buteo	Accipitridae	Accipitriformes	Aves
Myotis annectans	265733	Myotis	Vespertilionidae	Chiroptera	Mammalia
Thamnosophis martae	641495	Thamnosophis	Lamprophiidae	Squamata	Lepidosauria
Leptobrachium ailaonicum	428466	Leptobrachium	Megophryidae	Anura	Amphibia
Pulchrana laterimaculata	519053	Pulchrana	Ranidae	Anura	Amphibia
Nectarinia alinae	233790	Nectarinia	Nectariniidae	Passeriformes	Aves
Chodsigoa hypsibia	862699	Chodsigoa	Soricidae	Eulipotyphla	Mammalia
Kakamega poliothorax	201334	Kakamega	Timaliidae	Passeriformes	Aves
Falco deiroleucus	495962	Falco	Falconidae	Falconiformes	Aves
Anthus spinoletta	45802	Anthus	Motacillidae	Passeriformes	Aves
Eudocimus albus	371913	Eudocimus	Threskiornithidae	Pelecaniformes	Aves
Phlegopsis erythroptera	288048	Phlegopsis	Thamnophilidae	Passeriformes	Aves
Apodemus latronum	214933	Apodemus	Muridae	Rodentia	Mammalia
Falco rupicolus	1562128	Falco	Falconidae	Falconiformes	Aves
Elanus leucurus	321063	Elanus	Accipitridae	Accipitriformes	Aves
Myiarchus magnirostris	1149680	Myiarchus	Tyrannidae	Passeriformes	Aves
Myotis hasseltii	159326	Myotis	Vespertilionidae	Chiroptera	Mammalia
Eptesicus isabellinus	502802	Eptesicus	Vespertilionidae	Chiroptera	Mammalia
Sorex camtschatica	144772	Sorex	Soricidae	Eulipotyphla	Mammalia
Melanocharis nigra	175124	Melanocharis	Melanocharitidae	Passeriformes	Aves
Prosobonia parvirostris	1233979	Prosobonia	Scolopacidae	Charadriiformes	Aves
Sigmodon leucotis	134743	Sigmodon	Cricetidae	Rodentia	Mammalia
Attila citriniventris	649781	Attila	Tyrannidae	Passeriformes	Aves
Thryothorus mystacalis	376314	Thryothorus	Certhiidae	Passeriformes	Aves
Bangsia edwardsi	548501	Bangsia	Thraupidae	Passeriformes	Aves
Morelia carinata	461328	Morelia	Pythonidae	Squamata	Lepidosauria
Paradisaea decora	681199	Paradisaea	Paradisaeidae	Passeriformes	Aves
Chlorocharis emiliae	589708	Chlorocharis	Zosteropidae	Passeriformes	Aves
Nycticebus pygmaeus	101278	Nycticebus	Lorisidae	Primates	Mammalia
Calyptorhynchus lathami	986098	Calyptorhynchus	Cacatuidae	Psittaciformes	Aves
Icterus oberi	105519	Icterus	Icteridae	Passeriformes	Aves
Boana pellucens	2720498	Boana	Hylidae	Anura	Amphibia
Lerista praepedita	470375	Lerista	Scincidae	Squamata	Lepidosauria
Lygophis anomalus	1159289	Lygophis	Dipsadidae	Squamata	Lepidosauria
Hemidactylus yerburii	343433	Hemidactylus	Gekkonidae	Squamata	Lepidosauria
Aphelocoma ultramarina	55973	Aphelocoma	Corvidae	Passeriformes	Aves
Dactylomys dactylinus	30619	Dactylomys	Echimyidae	Rodentia	Mammalia
Hylarana serendipi	1569969	Hylarana	Ranidae	Anura	Amphibia
Loriculus galgulus	60471	Loriculus	Psittacidae	Psittaciformes	Aves
Iranolacerta zagrosica	1225350	Iranolacerta	Lacertidae	Squamata	Lepidosauria
Bufotes cf. oblongus FB-2010	745835	Bufotes	Bufonidae	Anura	Amphibia
Prunella fagani	1351673	Prunella	Passeridae	Passeriformes	Aves
Prionodon linsang	94194	Prionodon	Viverridae	Carnivora	Mammalia
Gavia arctica	57069	Gavia	Gaviidae	Gaviiformes	Aves
Arctictis binturong	94180	Arctictis	Viverridae	Carnivora	Mammalia
Eumops glaucinus	27619	Eumops	Molossidae	Chiroptera	Mammalia
Crotaphytus antiquus	475055	Crotaphytus	Iguanidae	Squamata	Lepidosauria
Mastomys huberti	121569	Mastomys	Muridae	Rodentia	Mammalia
Anolis dissimilis	1562747	Anolis	Dactyloidae	Squamata	Lepidosauria
Ctenotus regius	480771	Ctenotus	Scincidae	Squamata	Lepidosauria
Coendou mexicanus	637443	Coendou	Erethizontidae	Rodentia	Mammalia
Leucophaeus atricilla	126679	Leucophaeus	Laridae	Charadriiformes	Aves
Crocidura fuliginosa	61090	Crocidura	Soricidae	Eulipotyphla	Mammalia
Sternula nereis	564719	Sternula	Laridae	Charadriiformes	Aves
Hypsirhynchus polylepis	121310	Hypsirhynchus	Dipsadidae	Squamata	Lepidosauria
Diomedea exulans	46550	Diomedea	Diomedeidae	Procellariiformes	Aves
Pelophylax lessonae	45623	Pelophylax	Ranidae	Anura	Amphibia
Haliaeetus vociferoides	260531	Haliaeetus	Accipitridae	Accipitriformes	Aves
Carlia pectoralis	124114	Carlia	Scincidae	Squamata	Lepidosauria
Tangara heinei	256444	Tangara	Thraupidae	Passeriformes	Aves
Loxia scotica	85150	Loxia	Fringillidae	Passeriformes	Aves
Balaenoptera brydei	255365	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia
Anhinga novaehollandiae	9213	Anhinga	Anhingidae	Pelecaniformes	Aves
Mauremys leprosa	176197	Mauremys	Geoemydidae	Testudines	Testudinata
Ara severus	178883	Ara	Psittacidae	Psittaciformes	Aves
Tadarida aegyptiaca	302412	Tadarida	Molossidae	Chiroptera	Mammalia
Chlorostilbon melanorhynchus	304607	Chlorostilbon	Trochilidae	Apodiformes	Aves
Uroplatus sp. C CMI-2008	543553	Uroplatus	Gekkonidae	Squamata	Lepidosauria
Megalaima asiatica	348820	Megalaima	Megalaimidae	Piciformes	Aves
Tropidophorus matsuii	338349	Tropidophorus	Scincidae	Squamata	Lepidosauria
Corvus splendens	701737	Corvus	Corvidae	Passeriformes	Aves
Moho nobilis	572098	Moho	Mohoidae	Passeriformes	Aves
Pyrrhura pfrimeri	311888	Pyrrhura	Psittacidae	Psittaciformes	Aves
Platypelis tetra	880038	Platypelis	Microhylidae	Anura	Amphibia
Eothenomys eva	870527	Eothenomys	Cricetidae	Rodentia	Mammalia
Cabalus modestus	54497	Cabalus	Rallidae	Gruiformes	Aves
Cyanocorax affinis	703278	Cyanocorax	Corvidae	Passeriformes	Aves
Hemitragus jemlahicus	37179	Hemitragus	Bovidae	Artiodactyla	Mammalia
Aglaeactis cupripennis	56648	Aglaeactis	Trochilidae	Apodiformes	Aves
Phasmahyla cruzi	860366	Phasmahyla	Hylidae	Anura	Amphibia
Ansonia fuliginea	454370	Ansonia	Bufonidae	Anura	Amphibia
Phaenostictus mcleannani	288078	Phaenostictus	Thamnophilidae	Passeriformes	Aves
Pipistrellus rusticus	372076	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia
Spizaetus melanoleucus	252800	Spizaetus	Accipitridae	Accipitriformes	Aves
Oriolus oriolus	181099	Oriolus	Corvidae	Passeriformes	Aves
Pachydactylus scherzi	202847	Pachydactylus	Gekkonidae	Squamata	Lepidosauria
Sceloporus teapensis	235404	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Mabuya sp. NRPS-2015b	1620416	Mabuya	Scincidae	Squamata	Lepidosauria
Gerbilliscus kempi	410301	Gerbilliscus	Muridae	Rodentia	Mammalia
Elseya lavarackorum	321138	Elseya	Chelidae	Testudines	Testudinata
Anolis acutus	75240	Anolis	Dactyloidae	Squamata	Lepidosauria
Mimus gundlachii	111997	Mimus	Mimidae	Passeriformes	Aves
Cercosaura schreibersii	174797	Cercosaura	Gymnophthalmidae	Squamata	Lepidosauria
Typhlosaurus braini	980947	Typhlosaurus	Scincidae	Squamata	Lepidosauria
Charadrius nivosus	985688	Charadrius	Charadriidae	Charadriiformes	Aves
Hydrophylax malabaricus	267844	Hydrophylax	Ranidae	Anura	Amphibia
Zonosaurus quadrilineatus	329866	Zonosaurus	Gerrhosauridae	Squamata	Lepidosauria
Salanoia concolor	219105	Salanoia	Eupleridae	Carnivora	Mammalia
Pachycephala grisola	498428	Pachycephala	Pachycephalidae	Passeriformes	Aves
Euryoryzomys emmonsae	123940	Euryoryzomys	Cricetidae	Rodentia	Mammalia
Xeromys myoides	337226	Xeromys	Muridae	Rodentia	Mammalia
Chlorospingus parvirostris	166065	Chlorospingus	Passerellidae	Passeriformes	Aves
Pithecopus oreades	239355	Pithecopus	Hylidae	Anura	Amphibia
Uma scoparia	81829	Uma	Phrynosomatidae	Squamata	Lepidosauria
Ecpleopus gaudichaudii	174789	Ecpleopus	Gymnophthalmidae	Squamata	Lepidosauria
Pseudocheirus peregrinus	9333	Pseudocheirus	Pseudocheiridae	Diprotodontia	Mammalia
Macroglossus minimus	29076	Macroglossus	Pteropodidae	Chiroptera	Mammalia
Mus crociduroides	41269	Mus	Muridae	Rodentia	Mammalia
Rana pyrenaica	168099	Rana	Ranidae	Anura	Amphibia
Anilios waitii	261714	Anilios	Typhlopidae	Squamata	Lepidosauria
Phylloscopus umbrovirens	298983	Phylloscopus	Phylloscopidae	Passeriformes	Aves
Microtus multiplex	137711	Microtus	Cricetidae	Rodentia	Mammalia
Mareca americana	75832	Mareca	Anatidae	Anseriformes	Aves
Artibeus schwartzi	406813	Artibeus	Phyllostomidae	Chiroptera	Mammalia
Hemidactylus turcicus	58195	Hemidactylus	Gekkonidae	Squamata	Lepidosauria
Praomys degraaffi	209863	Praomys	Muridae	Rodentia	Mammalia
Chiropterotriton priscus	269202	Chiropterotriton	Plethodontidae	Caudata	Amphibia
Iole charlottae	374644	Iole	Pycnonotidae	Passeriformes	Aves
Myrmotherula iheringi	858332	Myrmotherula	Thamnophilidae	Passeriformes	Aves
Agama hispida	175459	Agama	Agamidae	Squamata	Lepidosauria
Chrysemys picta	8479	Chrysemys	Emydidae	Testudines	Testudinata
Spondylurus semitaeniatus	1190687	Spondylurus	Scincidae	Squamata	Lepidosauria
Anolis extremus	118654	Anolis	Dactyloidae	Squamata	Lepidosauria
Coeranoscincus reticulatus	220775	Coeranoscincus	Scincidae	Squamata	Lepidosauria
Microhyla fowleri	1035781	Microhyla	Microhylidae	Anura	Amphibia
Anolis heterodermus	1091116	Anolis	Dactyloidae	Squamata	Lepidosauria
Peromyscus melanophrys	246392	Peromyscus	Cricetidae	Rodentia	Mammalia
Motacilla flava	180448	Motacilla	Motacillidae	Passeriformes	Aves
Craugastor daryi	228428	Craugastor	Craugastoridae	Anura	Amphibia
Cyclorana verrucosa	681220	Cyclorana	Hylidae	Anura	Amphibia
Parophasma galinieri	634323	Parophasma	Timaliidae	Passeriformes	Aves
Acontias litoralis	156903	Acontias	Scincidae	Squamata	Lepidosauria
Leptasthenura fuliginiceps	555271	Leptasthenura	Furnariidae	Passeriformes	Aves
Salamandrella tridactyla	476251	Salamandrella	Hynobiidae	Caudata	Amphibia
Caledoniscincus atropunctatus	394115	Caledoniscincus	Scincidae	Squamata	Lepidosauria
Aimophila sumichrasti	587464	Aimophila	Passerellidae	Passeriformes	Aves
Hapalemur aureus	122222	Hapalemur	Lemuridae	Primates	Mammalia
Anolis centralis	235298	Anolis	Dactyloidae	Squamata	Lepidosauria
Melospiza lincolnii	44396	Melospiza	Passerellidae	Passeriformes	Aves
Bolomys amoenus	10081	Bolomys	Cricetidae	Rodentia	Mammalia
Hypotaenidia philippensis	2861860	Hypotaenidia	Rallidae	Gruiformes	Aves
Blastocerus dichotomus	248133	Blastocerus	Cervidae	Artiodactyla	Mammalia
Thamnophis nigronuchalis	35012	Thamnophis	Colubridae	Squamata	Lepidosauria
Rhinolophus celebensis	1078801	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Tarsomys apoensis	349713	Tarsomys	Muridae	Rodentia	Mammalia
Varanus brevicauda	62038	Varanus	Varanidae	Squamata	Lepidosauria
Taruga longinasus	1917159	Taruga	Rhacophoridae	Anura	Amphibia
Bison bonasus	9902	Bison	Bovidae	Artiodactyla	Mammalia
Cyrtodactylus gubernatoris	1337879	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Sericornis nouhuysi	722684	Sericornis	Acanthizidae	Passeriformes	Aves
Litoria revelata	681266	Litoria	Hylidae	Anura	Amphibia
Odorrana morafkai	392063	Odorrana	Ranidae	Anura	Amphibia
Pluvialis dominica	240205	Pluvialis	Charadriidae	Charadriiformes	Aves
Zentrygon goldmani	977918	Zentrygon	Columbidae	Columbiformes	Aves
Monticola solitarius	36286	Monticola	Turdidae	Passeriformes	Aves
Lampornis calolaemus	347497	Lampornis	Trochilidae	Apodiformes	Aves
Acanthophis wellsi	239747	Acanthophis	Elapidae	Squamata	Lepidosauria
Pristimantis galdi	448663	Pristimantis	Strabomantidae	Anura	Amphibia
Xenopholis scalaris	699601	Xenopholis	Dipsadidae	Squamata	Lepidosauria
Smilisca baudinii	279982	Smilisca	Hylidae	Anura	Amphibia
Anolis princeps	1091124	Anolis	Dactyloidae	Squamata	Lepidosauria
Malayotyphlops luzonensis	159174	Malayotyphlops	Typhlopidae	Squamata	Lepidosauria
Bothrochilus albertisii	129326	Bothrochilus	Pythonidae	Squamata	Lepidosauria
Pristimantis actites	448523	Pristimantis	Strabomantidae	Anura	Amphibia
Graptemys pseudogeographica	33571	Graptemys	Emydidae	Testudines	Testudinata
Paradisaea minor	39964	Paradisaea	Paradisaeidae	Passeriformes	Aves
Millardia meltada	121583	Millardia	Muridae	Rodentia	Mammalia
Poecile atricapillus	48891	Poecile	Paridae	Passeriformes	Aves
Pittasoma michleri	255374	Pittasoma	Formicariidae	Passeriformes	Aves
Leptobrachium leishanense	445787	Leptobrachium	Megophryidae	Anura	Amphibia
Pseudeos fuscata	176072	Pseudeos	Psittaculidae	Psittaciformes	Aves
Phaethornis koepckeae	304670	Phaethornis	Trochilidae	Apodiformes	Aves
Calamanthus campestris	722649	Calamanthus	Acanthizidae	Passeriformes	Aves
Eleutherodactylus eunaster	448648	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Bathyergus suillus	10172	Bathyergus	Bathyergidae	Rodentia	Mammalia
Dendromus mesomelas	234629	Dendromus	Nesomyidae	Rodentia	Mammalia
Cyanocorax chrysops	54579	Cyanocorax	Corvidae	Passeriformes	Aves
Pelophylax shqipericus	44326	Pelophylax	Ranidae	Anura	Amphibia
Psittinus cyanurus	678590	Psittinus	Psittacidae	Psittaciformes	Aves
Spermophilus fulvus	99841	Spermophilus	Sciuridae	Rodentia	Mammalia
Prasinohaema virens	220792	Prasinohaema	Scincidae	Squamata	Lepidosauria
Schiffornis virescens	196047	Schiffornis	Pipridae	Passeriformes	Aves
Cyrtodactylus slowinskii	1234046	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Oenanthe picata	391710	Oenanthe	Muscicapidae	Passeriformes	Aves
Muscicapa aquatica	869913	Muscicapa	Muscicapidae	Passeriformes	Aves
Reithrodontomys sumichrasti	89102	Reithrodontomys	Cricetidae	Rodentia	Mammalia
Parvoscincus sisoni	999446	Parvoscincus	Scincidae	Squamata	Lepidosauria
Mysateles prehensilis	1543405	Mysateles	Capromyidae	Rodentia	Mammalia
Dendrocitta frontalis	1200960	Dendrocitta	Corvidae	Passeriformes	Aves
Phyllurus amnicola	1017105	Phyllurus	Carphodactylidae	Squamata	Lepidosauria
Sylvia crassirostris	216226	Sylvia	Sylviidae	Passeriformes	Aves
Cornufer papuensis	367664	Cornufer	Ceratobatrachidae	Anura	Amphibia
Engystomops pustulatus	76065	Engystomops	Leptodactylidae	Anura	Amphibia
Clibanornis dendrocolaptoides	644980	Clibanornis	Furnariidae	Passeriformes	Aves
Dasyurus maculatus	9281	Dasyurus	Dasyuridae	Dasyuromorphia	Mammalia
Fejervarya triora	402885	Fejervarya	Dicroglossidae	Anura	Amphibia
Quasipaa yei	342822	Quasipaa	Dicroglossidae	Anura	Amphibia
Dendrophryniscus sp. 296MC	1143206	Dendrophryniscus	Bufonidae	Anura	Amphibia
Cerrophidion godmani	44722	Cerrophidion	Viperidae	Squamata	Lepidosauria
Chalinolobus nigrogriseus	270775	Chalinolobus	Vespertilionidae	Chiroptera	Mammalia
Ptilonorhynchus violaceus	28724	Ptilonorhynchus	Ptilonorhynchidae	Passeriformes	Aves
Oreopsar bolivianus	84841	Oreopsar	Icteridae	Passeriformes	Aves
Melaenornis silens	343934	Melaenornis	Muscicapidae	Passeriformes	Aves
Ploceus luteolus	441695	Ploceus	Ploceidae	Passeriformes	Aves
Goldmania violiceps	1507464	Goldmania	Trochilidae	Apodiformes	Aves
Taphozous nudiventris	249019	Taphozous	Emballonuridae	Chiroptera	Mammalia
Macroagelaius subalaris	109388	Macroagelaius	Icteridae	Passeriformes	Aves
Theloderma rhododiscus	356234	Theloderma	Rhacophoridae	Anura	Amphibia
Charadrius alticola	555233	Charadrius	Charadriidae	Charadriiformes	Aves
Pardalotus striatus	108840	Pardalotus	Pardalotidae	Passeriformes	Aves
Geocapromys brownii	1543402	Geocapromys	Capromyidae	Rodentia	Mammalia
Oxyrhabdium leporinum	186594	Oxyrhabdium	Cyclocoridae	Squamata	Lepidosauria
Genetta cristata	235203	Genetta	Viverridae	Carnivora	Mammalia
Cnemophilus macgregorii	108823	Cnemophilus	Corvidae	Passeriformes	Aves
Anolis transversalis	174264	Anolis	Dactyloidae	Squamata	Lepidosauria
Rattus verecundus	472764	Rattus	Muridae	Rodentia	Mammalia
Myrmeciza melanoceps	468502	Myrmeciza	Thamnophilidae	Passeriformes	Aves
Cephalophus spadix	129231	Cephalophus	Bovidae	Artiodactyla	Mammalia
Acomys cahirinus	10068	Acomys	Muridae	Rodentia	Mammalia
Rana culaiensis	1095553	Rana	Ranidae	Anura	Amphibia
Pterodroma macroptera	53675	Pterodroma	Procellariidae	Procellariiformes	Aves
Chamaesaura aenea	884239	Chamaesaura	Cordylidae	Squamata	Lepidosauria
Psittacella brehmii	458123	Psittacella	Psittacidae	Psittaciformes	Aves
Phapitreron leucotis	135632	Phapitreron	Columbidae	Columbiformes	Aves
Barbastella barbastellus	59449	Barbastella	Vespertilionidae	Chiroptera	Mammalia
Stercorarius longicaudus	54058	Stercorarius	Stercorariidae	Charadriiformes	Aves
Diploglossus pleii	102182	Diploglossus	Diploglossidae	Squamata	Lepidosauria
Trachischium monticola	1165738	Trachischium	Colubridae	Squamata	Lepidosauria
Branta canadensis	8853	Branta	Anatidae	Anseriformes	Aves
Erophylla bombifrons	290569	Erophylla	Phyllostomidae	Chiroptera	Mammalia
Nerodia rhombifer	183610	Nerodia	Colubridae	Squamata	Lepidosauria
Mantidactylus opiparis	127652	Mantidactylus	Mantellidae	Anura	Amphibia
Allocricetulus eversmanni	329634	Allocricetulus	Cricetidae	Rodentia	Mammalia
Phyllostomus elongatus	187005	Phyllostomus	Phyllostomidae	Chiroptera	Mammalia
Aethomys ineptus	284517	Aethomys	Muridae	Rodentia	Mammalia
Pristimantis rhabdolaemus	327715	Pristimantis	Strabomantidae	Anura	Amphibia
Lerista elegans	470341	Lerista	Scincidae	Squamata	Lepidosauria
Plecotus kozlovi	360158	Plecotus	Vespertilionidae	Chiroptera	Mammalia
Clytorhynchus hamlini	338449	Clytorhynchus	Monarchidae	Passeriformes	Aves
Turdus leucomelas	198470	Turdus	Turdidae	Passeriformes	Aves
Liolaemus chacoensis	109402	Liolaemus	Iguanidae	Squamata	Lepidosauria
Plecotus balensis	196419	Plecotus	Vespertilionidae	Chiroptera	Mammalia
Cordylus jonesii	884330	Cordylus	Cordylidae	Squamata	Lepidosauria
Pholidobolus vertebralis	1718796	Pholidobolus	Gymnophthalmidae	Squamata	Lepidosauria
Leiolopisma mauritiana	316440	Leiolopisma	Scincidae	Squamata	Lepidosauria
Calliphlox amethystina	689204	Calliphlox	Trochilidae	Apodiformes	Aves
Columba rupestris	126356	Columba	Columbidae	Columbiformes	Aves
Terenura sharpei	468532	Terenura	Thamnophilidae	Passeriformes	Aves
Tchagra australis	272849	Tchagra	Malaconotidae	Passeriformes	Aves
Lanius bucephalus	125284	Lanius	Laniidae	Passeriformes	Aves
Sphenomorphus jobiensis	127905	Sphenomorphus	Scincidae	Squamata	Lepidosauria
Promerops gurneyi	670928	Promerops	Nectariniidae	Passeriformes	Aves
Phyllomedusa sauvagii	8395	Phyllomedusa	Hylidae	Anura	Amphibia
Eumops underwoodi	507606	Eumops	Molossidae	Chiroptera	Mammalia
Otus sanctaecatarinae	126862	Otus	Strigidae	Strigiformes	Aves
Peromyscus hylocetes	57104	Peromyscus	Cricetidae	Rodentia	Mammalia
Buteo rufinus	115134	Buteo	Accipitridae	Accipitriformes	Aves
Todiramphus sanctus	342380	Todiramphus	Alcedinidae	Coraciiformes	Aves
Sturnus philippensis	451426	Sturnus	Sturnidae	Passeriformes	Aves
Oxymycterus hiska	29126	Oxymycterus	Cricetidae	Rodentia	Mammalia
Elseyornis melanops	50406	Elseyornis	Charadriidae	Charadriiformes	Aves
Papio ursinus	36229	Papio	Cercopithecidae	Primates	Mammalia
Cisticola cherina	98116	Cisticola	Cisticolidae	Passeriformes	Aves
Phyllonycteris aphylla	138702	Phyllonycteris	Phyllostomidae	Chiroptera	Mammalia
Cinnyris superbus	667145	Cinnyris	Nectariniidae	Passeriformes	Aves
Pseudacris crucifer	189920	Pseudacris	Hylidae	Anura	Amphibia
Picoides arizonae	372364	Picoides	Picidae	Piciformes	Aves
Litoria dorsalis	681242	Litoria	Hylidae	Anura	Amphibia
Asthenes wyatti	644978	Asthenes	Furnariidae	Passeriformes	Aves
Alsophis antiguae	121296	Alsophis	Dipsadidae	Squamata	Lepidosauria
Plegadis ridgwayi	33576	Plegadis	Threskiornithidae	Pelecaniformes	Aves
Eugongylus albofasciolatus	172933	Eugongylus	Scincidae	Squamata	Lepidosauria
Pristurus abdelkuri	706251	Pristurus	Sphaerodactylidae	Squamata	Lepidosauria
Sciurus vulgaris	NA	NA	NA	NA	NA
Monticola brevipes	429747	Monticola	Turdidae	Passeriformes	Aves
Ceyx argentatus	390721	Ceyx	Alcedinidae	Coraciiformes	Aves
Lampornis clemenciae	347501	Lampornis	Trochilidae	Apodiformes	Aves
Exerodonta melanomma	317336	Exerodonta	Hylidae	Anura	Amphibia
Phalcoboenus albogularis	1217059	Phalcoboenus	Falconidae	Falconiformes	Aves
Chiroxiphia pareola	467132	Chiroxiphia	Pipridae	Passeriformes	Aves
Pseudomys delicatulus	442607	Pseudomys	Muridae	Rodentia	Mammalia
Hyalinobatrachium carlesvilai	651582	Hyalinobatrachium	Centrolenidae	Anura	Amphibia
Diclidurus scutatus	210810	Diclidurus	Emballonuridae	Chiroptera	Mammalia
Rhinella poeppigii	346457	Rhinella	Bufonidae	Anura	Amphibia
Dermochelys coriacea	27794	Dermochelys	Dermochelyidae	Testudines	Testudinata
Sporophila corvina	722595	Sporophila	Thraupidae	Passeriformes	Aves
Martes foina	9659	Martes	Mustelidae	Carnivora	Mammalia
Rhinolophus rufus	545504	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Scytalopus parvirostris	886860	Scytalopus	Rhinocryptidae	Passeriformes	Aves
Tauraco leucolophus	119415	Tauraco	Musophagidae	Musophagiformes	Aves
Accipiter imitator	387798	Accipiter	Accipitridae	Accipitriformes	Aves
Hydropotes inermis	9883	Hydropotes	Cervidae	Artiodactyla	Mammalia
Cormura brevirostris	249012	Cormura	Emballonuridae	Chiroptera	Mammalia
Tangara cyanocephala	256436	Tangara	Thraupidae	Passeriformes	Aves
Cinclodes aricomae	279544	Cinclodes	Furnariidae	Passeriformes	Aves
Limnonectes visayanus	246419	Limnonectes	Dicroglossidae	Anura	Amphibia
Stachyris striata	181633	Stachyris	Timaliidae	Passeriformes	Aves
Sterna hirundinacea	227186	Sterna	Laridae	Charadriiformes	Aves
Eurycea quadridigitata	147899	Eurycea	Plethodontidae	Caudata	Amphibia
Leucosticte atrata	190694	Leucosticte	Fringillidae	Passeriformes	Aves
Schistolais leucopogon	208065	Schistolais	Cisticolidae	Passeriformes	Aves
Boophis williamsi	321794	Boophis	Mantellidae	Anura	Amphibia
Rhabdornis inornatus	237438	Rhabdornis	Rhabdornithidae	Passeriformes	Aves
Eleutherodactylus albipes	448419	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Megascops watsonii	1118744	Megascops	Strigidae	Strigiformes	Aves
