host_species	taxid	host_genus	host_family	host_order	host_class
Ctenotus allotropis	480713	Ctenotus	Scincidae	Squamata	Lepidosauria
Lacerta viridis	65476	Lacerta	Lacertidae	Squamata	Lepidosauria
Gymnuromys roberti	107276	Gymnuromys	Nesomyidae	Rodentia	Mammalia
Thorius magnipes	872329	Thorius	Plethodontidae	Caudata	Amphibia
Pachydactylus vansoni	202859	Pachydactylus	Gekkonidae	Squamata	Lepidosauria
Sphenophryne schlaginhaufeni	480199	Sphenophryne	Microhylidae	Anura	Amphibia
Circus spilothorax	1620239	Circus	Accipitridae	Accipitriformes	Aves
Crocodylus porosus	8502	Crocodylus	Crocodylidae	Crocodylia	Archosauria
Corallus cropanii	1035940	Corallus	Boidae	Squamata	Lepidosauria
Calidris ruficollis	272047	Calidris	Scolopacidae	Charadriiformes	Aves
Philautus acutus	1115633	Philautus	Rhacophoridae	Anura	Amphibia
Boana marianitae	253521	Boana	Hylidae	Anura	Amphibia
Rhipidura superciliaris	667193	Rhipidura	Rhipiduridae	Passeriformes	Aves
Oecomys rutilus	200942	Oecomys	Cricetidae	Rodentia	Mammalia
Tangara inornata	58207	Tangara	Thraupidae	Passeriformes	Aves
Amazilia cyanura	1315731	Amazilia	Trochilidae	Apodiformes	Aves
Microgecko helenae	1208037	Microgecko	Gekkonidae	Squamata	Lepidosauria
Myotis dasycneme	159324	Myotis	Vespertilionidae	Chiroptera	Mammalia
Dinopium javanense	367957	Dinopium	Picidae	Piciformes	Aves
Myiagra cervinicauda	1389790	Myiagra	Monarchidae	Passeriformes	Aves
Reithrodontomys zacatecae	129433	Reithrodontomys	Cricetidae	Rodentia	Mammalia
Acrocephalus kerearako	435340	Acrocephalus	Sylviidae	Passeriformes	Aves
Pareas hamptoni	258775	Pareas	Pareatidae	Squamata	Lepidosauria
Mitu tomentosum	1109079	Mitu	Cracidae	Galliformes	Aves
