sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI01256	6.5053671	96.45	91.52	49.01	AED65E1L1I1
EHI00446	8.1	97.38	93.18	42.35	C1_EXB0015E1L1I1
EHI02193	NA	NA	NA	NA	AHB66E1L1I1
EHI01343	5.42169	97.08	92.72	50.6	AEC25E1L1I1
EHI02277	NA	NA	NA	NA	ABC38E1L1I1
EHI01149	4.4033016	96.86	92.3	44.91	AII22E1L1I1
EHI01719	12.0420519	96.47	91.34	43.89	ABK56E1L1I1
EHI02258	NA	NA	NA	NA	AAN31E1L1I1
EHI01056	8.1023652	97.24	92.57	45.79	AFP79E1L1I1
EHI02009	4.2626367	96.92	92.18	48.27	ACG56E1L1I1
EHI00698	2.1988524	96.76	91.69	44.29	AEX92E1L1I1
EHI01756	5.6894838	96.63	91.72	41.3	ABO13E1L1I1
EHI01487	4.3853499	96.54	91.41	45.65	ADW06E1L1I1
EHI02691	4.5542772	97.94	94.66	46.63	AHN53E1L1I1
EHI01759	3.5931	96.46	91.2	40.93	AAA08E1L1I1
EHI02232	NA	NA	NA	NA	AFZ63E1L1I1
EHI00110	3	94.56	87.38	41.74	ABJ73E1L1I1
EHI00322	12.1	96.1	90.4	40.7	AAI03E1L1I1
EHI00697	0.6807051	96.8	91.88	45.02	AEX91E1L1I1
EHI00997	4.3214418	96.27	91.12	41.25	ADD89E1L1I1
EHI01463	6.7729146	96.56	91.59	46.07	AAV34E1L1I1
EHI00184	2.5	94.57	87.65	43.77	OPAU4E1L1I1
EHI00522	6.5	97.38	93.11	45.12	ABN47E1L1I1
EHI02688	12.39525	98.24	95.2	48.86	AHO40E1L1I1
EHI00247	5.3	96.19	90.34	39.6	AAA92E1L1I1
EHI02637	7.3005069	98.62	96.1	44.08	AGP16E1L1I1
EHI01118	5.4933174	96.92	92.46	44.59	AIF55E1L1I1
EHI00686	4.3067556	96.74	91.62	44.1	AEX38E1L1I1
EHI01782	3.7785633	96.97	92.26	42.95	AGI64E1L1I1
EHI00646	6.7	97.23	92.58	37.46	ACB21E1L1I1
EHI01426	2.6829924	96.29	91.29	48.45	AEV45E1L1I1
EHI00280	12.4	96.18	90.36	41.54	AAC71E1L1I2
EHI01805	8.2470333	96.86	92.02	46.15	AHV47E1L1I1
EHI00510	4.4	97.06	92.86	47.4	AGF98E1L1I1
EHI02430	3.6202035	97.19	92.93	41.53	AFI17E1L1I1
EHI01966	4.787655	96.83	92.29	41.69	AJP46E1L1I1
EHI01558	7.138968	96.19	90.97	48.66	ACG53E1L1I1
EHI02282	NA	NA	NA	NA	AHB33E1L1I1
EHI01590	0.2504964	96.64	92.48	55.54	AFN19E1L1I1
EHI00428	5.5	97.22	93.06	44.89	ADL22E1L1I1
EHI01700	12.3457251	96.45	93.57	50.76	AHI49E1L1I1
EHI02627	3.2979021	98.19	95.12	52.65	AGP32E1L1I1
EHI02392	8.6928813	96.92	92.35	48.54	AGZ43E1L1I1
EHI00712	5.3727438	96.74	91.71	42.07	AFM35E1L1I1
EHI02432	4.6092474	97.32	93.13	42.1	AAD68E1L1I1
