sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Faecal	Housing	< 10 minutes	< 1 day	AGI73	NA	NA	NA	SD03719	Tyrannidae	Ochthoeca fumicolor	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0371901	Birds
Tissue	Animal	< 10 minutes	< 1 day	ABX46	NA	416	409	SD02701	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Urban cemetery with lawns, bushes, deciduous and coniferous trees, partly standing together in groups	Adult	Male	52.49	13.41	recVYUv3aeAtg7Vdd	Rodentia	Mammalia	SD0270101	Mammals
Oral swab	Animal	< 1 minute	< 14 days	AFW21	NA	94	25.5	SD02097	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Unknown	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0209701	Mammals
Faecal	Housing	< 10 minutes	< 7 days	AFH43	NA	47	21.9	SD04002	Phrynosomatidae	Sceloporus hondurensis 	1000197 - Broadleaf forest	In front of a stream	Adult	Male	15.2	-87.59	recQgqRtcmwo7Cea8	Squamata	Reptilia	SD0400201	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AD78	Lobos	208	370	SD00249	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.39	-13.5	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0024901	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAC99	Norte	275	460	SD00232	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.41	-13.51	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0023201	Birds
Skin swab	Animal	< 1 minute	< 21 days	AHN65	NA	31.06	4.5	SD03292	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Tire track / conservation pond	Adult	Male	47.89	20.04	recswsHtDSgulNghS	Anura	Amphibia	SD0329201	Amphibians
Faecal	Animal	< 1 minute	< 21 days	ABJ73	NA	62	4.6	SD00602	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Boulders and stone-walls	Unknown	Male	42.63	0.76	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0060201	Reptiles
Colon contents	Animal	NA	NA	AIH59	1.4 mi W of Hasan	NA	NA	SD02963	Cathartidae	Coragyps atratus	NA	NA	Adult	Female	29.86	-82.46	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0296301	Birds
Tissue	Animal	< 1 minute	< 1 day	AEL20	Varese	59	360	SD01776	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.83	8.83	recrACkHppgdXdQse	Rodentia	Mammalia	SD0177601	Mammals
Duodenum contents	Animal	NA	NA	AIJ33	3.3 mi SE of Cruz Calle, Howell Cattle Company	NA	NA	SD02979	Cathartidae	Cathartes aura	NA	NA	Adult	Male	27.35	-98.24	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0297901	Birds
Faecal	Trap	< 6 hours	< 7 days	AGM58	NA	NA	3640	SD04569	Phalangeridae	Trichosurus vulpecula	1000221 - Temperate woodland	(DTO) Eucalyptus tenuiramis forest and woodland on sediments	Adult	Unknown	-42.01	148.27	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0456901	Mammals
Faecal	Animal	< 10 minutes	< 3 days	OPAU50	NA	NA	NA	SD00733	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Park with woods	Adult	Male	50.99	-0.61	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0073301	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAB28	commande	NA	520	SD00391	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Female	44.84	7.77	recrACkHppgdXdQse	Rodentia	Mammalia	SD0039101	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 3 days	ABS42	NA	63.5	340	SD01509	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Adult	Male	42.91	143.19	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0150901	Mammals
Faecal	NA	NA	NA	ABR21	NA	50	2.98	SD02390	Lacertidae	Podarcis gaigeae	1000218 - Xeric shrubland	NA	NA	Male	38.8	24.53	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0239001	Reptiles
Faecal	NA	NA	NA	AFK75	NA	NA	NA	SD02399	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	NA	NA	Male	38.91	1.22	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0239901	Reptiles
